title,description,price,image,count
Револьвер Stalker S4 мм 3 Brown,"Револьверы под патрон Флобера (калибр — 4 мм) согласно действующему законодательству не являются огнестрельным оружием и могут продаваться свободно. При этом, внешний вид револьверов настолько реалистичен, что с первого взгяда его элементарно принять за боевой!",2400,https://d1h7ehaoc1pe6y.cloudfront.net/7567ec4b-b10c-48c5-9345-fc73c48a80aa.jpeg,10
Револьвер Meydan Stalker S 4 мм 4.5 Black,"Револьверы под патрон Флобера, согласно действующему законодательству не являются огнестрельным оружием и могут продаваться свободно. При этом, внешний вид револьверов настолько реалистичен, что с первого взгляда его можно принять за боевой.",2470,https://d1h7ehaoc1pe6y.cloudfront.net/7567ec4b-b10c-48c5-9345-fc73c48a80a0.jpeg,3
Револьвер Флобера Stalker S 3 (пластик черный),"Револьверы под патрон Флобера (калибр - 4 мм) согласно действующему законодательству не являются огнестрельным оружием и могут продаваться свободно. При этом, внешний вид револьверов настолько реалистичен, что с первого взгяда его элементарно принять за боевой!",2199,https://d1h7ehaoc1pe6y.cloudfront.net/7567ec4b-b10c-48c5-9345-fc73c48a80ab.jpeg,9
Револьвер Ekol Viper 3 Chrome,Это револьвер под патрон Флобера производства фирмы Ekol (Турция).Он является копией револьвера Smith & Wesson Model 19.Ekol Viper 3 может похвастаться качественной сборкой.,2795,https://d1h7ehaoc1pe6y.cloudfront.net/7567ec4b-b10c-48c5-9345-fc73c48a80a1.jpeg,5
Револьвер Ekol Viper 4.5 MATTE BLACK,Это револьвер под патрон Флобера производства фирмы Ekol (Турция).Он является копией револьвера Smith & Wesson Model 19.,2790,https://d1h7ehaoc1pe6y.cloudfront.net/7567ec4d-b10c-48c5-9345-fc73c48a80a2.jpeg,6
Револьвер Cuno Melcher ME 38 Magnum 4R,Револьвер под патрон Флобера.Емкость барабана — 9 патронов.Рукоять из пластика.Калибр 4 мм.,4970,https://d1h7ehaoc1pe6y.cloudfront.net/7567ec4b-f10c-48c5-9345-fc73348a80a1.jpeg,4
Револьвер Stalker 4 мм 3 Brown,"Револьверы под патрон Флобера (калибр — 4 мм) согласно действующему законодательству не являются огнестрельным оружием и могут продаваться свободно. При этом, внешний вид револьверов настолько реалистичен, что с первого взгяда его элементарно принять за боевой!",2900,https://d1h7ehaoc1pe6y.cloudfront.net/7567ec4b-b10c-48c5-9445-fc73c48a80a2.jpeg,1
Револьвер Stalker Titanium 4.5 Black,"Револьвер Stalker Titanium с коротким (11.4 см) стволом, предназначен для развлекательно-спортивной стрельбы и приобретения навыков обращения с оружием. Револьверы под патрон Флобера (калибр — 4 мм) согласно действующему законодательству не являются огнестрельным оружием и могут продаваться свободно. При этом, внешний вид револьверов настолько реалистичен, что с первого взгяда его элементарно принять за боевой!",3100,https://d1h7ehaoc1pe6y.cloudfront.net/7567ec4b-b10c-45c5-9345-fc73c48a80a1.jpeg,8
Лук Man Kung MK/CB50BK,Лук Man Kung MK/CB50BK — великолепный образец оружия.,3862,https://content1.rozetka.com.ua/goods/images/big/11110672.jpg,2
Лук Man Kung MK-CB30BL,"Лук Man Kung MK-CB30BL — великолепный образец оружия. Блочный тип, надежная и в то же время простая конструкция, высококачественные материалы изготовления — все направлено на то, чтобы владелец Man Kung MK-CB30BL смог долгое время наслаждаться стрельбой из лука.",1866,https://content.rozetka.com.ua/goods/images/big/10788770.jpg,1
Лук JK Archery 19 A07,"Олимпийские луки – это современные спортивные луки, соответствующие техническим правилам Олимпийских игр.",1392,https://content1.rozetka.com.ua/goods/images/big/152387203.jpg,8
Лук Man Kung MK-RB007BK,"Лук очень удобен в использовании, прочный и компактный, данный лук поможет привить ребенку любовь к лучному спорту с первого взгляда. Благодаря своей конструкции лук разбирается и очень компактен.",1425,https://content1.rozetka.com.ua/goods/images/big/121645545.jpg,10
Лук Man Kung MK-СBA5BK-KIT Thorns green camo,Блочный лук MK-СBA5 Thorns – новинка 2019 года от Man Kung. Новая модель отличается современным дизайном и улучшенными скоростными показателями. ,12144,https://content1.rozetka.com.ua/goods/images/big/21461100.jpg,3
